	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	64.79204235797641	20.918737036423188	20.1604092726116	20.79568142840935	-1.7452805558805382	0.21109333322274648	10.495708013189466	10.227328315611306	10.029701199391354	0.11876795054776845	1.0	0.7837212713664455	0.9673818648104088	1.567442542732891	0.997864914753876	3.097320944623096	0.9950807926017414	11.813354842343271	12.087278354403454	285253.0	328.5747109545167	64.47331686386077
1_in	50.932144140121636	16.162379127534187	15.917497843089635	16.12113320995219	-3.070135577794249	4.71238898038469	8.090092515071387	8.021982576546097	7.93838987288671	0.030376426475052242	1.0	0.7875749074177982	0.990104928987806	1.5751498148355965	1.0027715165654754	3.151277651528033	0.9923251081213975	11.794884450964727	12.095929223994283	175452.0	202.09810303972918	50.541245440700806
2_out	64.88809037267991	20.918737036423188	20.186702900122135	20.806568722695754	-1.7452805558805382	0.20304521725346514	10.48764402016615	10.238919406226193	10.045732100903722	0.11453124761995365	1.0	0.7840954287212875	0.9685988891175842	1.568190857442575	0.9983413066940142	3.1019124271077345	0.9946946366364301	11.833440591606973	12.069283034623634	285911.0	329.33264219383085	64.54383547528468
2_in	50.8389130813264	16.152861958672414	15.95143707090006	16.087193982141766	-2.412681951766384	4.71238898038469	8.084598171964464	8.018785410659689	7.922662203465951	0.028955955045510833	1.0	0.7869647185564234	0.9935389493446949	1.5739294371128467	1.0019945999774158	3.1473625671660725	0.9937731612398844	11.81989264030788	12.080212441298372	175320.0	201.94605604339262	50.52234736682945
3_out	63.97108637647002	20.569076146076494	20.058083635961566	20.499293597497097	-1.6865555445157074	0.0	10.289449309904471	10.131612509098176	9.990348782612397	0.08597934356110858	1.0	0.7843003776291168	0.977109160839627	1.5686007552582335	0.9986022557481129	3.1100612357192503	0.9974915661904465	11.798522006490915	12.010766467073132	279967.0	322.48591987394764	63.810619140569415
3_in	50.19617198505256	16.0193514790524	15.815680159658358	15.951437070900061	-2.706373402739762	4.71238898038469	8.022769153744035	7.952346263750773	7.8500204402015115	0.030513192573754972	1.0	0.7873618847593826	0.9939683703507891	1.5747237695187652	1.0025002876928562	3.133470918013832	0.9976867360489102	11.795730482932361	12.03311122125796	172448.0	198.6378820018878	50.08005498991683
4_out	64.06679499889542	20.562859190787727	20.145042653691657	20.553603570194113	-1.721563363524346	-0.05875582271572277	10.314392781377345	10.140881686896648	9.989229601761151	0.0698369215607002	1.0	0.7804009147632411	0.9738859578421734	1.5608018295264823	0.9936373054240537	3.1156559700412525	0.9971331041349053	11.810785220156486	11.944105975164888	280524.0	323.1275121236406	63.88312216922321
4_in	50.405033992997915	16.20750047736946	15.645984020606228	16.12113320995219	-2.9413223583324872	4.71238898038469	8.12699127866646	7.9571110919311625	7.7776496824195736	0.08302668565696747	1.0	0.7881904326977965	0.973976757823914	1.576380865395593	1.0035552276927533	3.1099819533171376	0.9944239277026583	11.824694874200961	11.94650160931066	172594.0	198.8060551948055	50.12397187930299
5_out	63.93965865151756	20.4977482929527	20.02709616423044	20.452537877293768	-1.6852933535623467	-0.288055447050626	10.276612927537737	10.105148326181203	9.967178168195659	0.07555497043561447	1.0	0.7832038981172734	0.9764628759311673	1.5664077962345468	0.9972061746736419	3.1193503665717546	0.9958940744108912	11.839594461449694	11.90920651606386	278507.0	320.8041879447704	63.677127170901414
5_in	50.21415977579208	16.100220226138774	15.679923248416655	16.019315526520913	-2.6402270921221227	4.71238898038469	8.058254465194059	7.934834180055853	7.775819014836724	0.06465297283930058	1.0	0.7872321887152396	0.9810992392903043	1.5744643774304792	1.0023351535606573	3.118849249917041	0.9954740564351716	11.832246789300791	11.90938450730331	171667.0	197.7382706068964	49.986893322491575
