	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Size  [mm²]	Perimeter  [mm]
1_out	20.786842777443194	20.512086600130047	20.68984532027974	-2.115946160751873	-0.08314123188844125	10.409058229697301	10.27828667942916	10.127655581635901	0.04078915175641108	0.7819696074836544	0.9870805400219131	1.5639392149673088	0.9956346270292221	3.233140397927182	331.86156664342116	67.20678112911246
1_in	15.864648534433856	15.658682443719911	15.861151330374895	-1.9405648615883138	-0.3487710035839071	7.941711379568572	7.844256009223722	7.756554789142151	0.03717869883358076	0.7782170063825408	0.9782083009762085	1.5564340127650815	0.9908566669116673	3.220693657806423	193.2816581300848	51.09517291817908
2_out	20.708820104054894	20.48326632141893	20.649376788974134	-2.12039568948607	-0.0644268394255536	10.365643575541602	10.265605490850907	10.146600203586527	0.03637570264918361	0.7827599635141866	0.9886236277688489	1.5655199270283733	0.9966409395817158	3.1941907885556957	331.0813862450519	66.14792241822914
2_in	15.894642271323864	15.648952197131003	15.8413206775417	-2.2008302363408117	2.782821983319221	7.951454636799238	7.853571185579998	7.765559996446047	0.0404889377927531	0.7815144781970057	0.9829717238648353	1.5630289563940114	0.9950551384234938	3.208291515300829	193.73749386845785	50.99464593783025
