	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	65.31713439326754	21.023251551379758	20.280489028885476	20.86152933598785	-1.6780503728568803	0.2837941092083278	10.566373294187095	10.277355999208966	10.079390932428106	0.10956465543006533	1.0	0.7840430156613922	0.970470390044417	1.5680860313227845	0.998274572313495	3.1068997216551293	0.9921838229067569	11.901680113256184	12.135261917478996	285293.0	331.7145003430077	64.8066041036266
1_in	51.02974878549116	16.203729589542785	15.992247889144005	16.162740937002685	2.7325560996604965	4.71238898038469	8.115330399272041	8.044454308011913	7.94176178124586	0.02717696828122939	1.0	0.7863440482937933	0.9906431108601231	1.5726880965875867	1.0012043380547941	3.1492594654519315	0.9933109513945942	11.904409027032424	12.158046707227673	174809.0	203.2530769786179	50.68840831554336
2_out	64.55151831255334	20.738375156332726	20.186376866467487	20.69785601004352	-1.6333177008930584	0.0	10.380421221205117	10.212019606910275	10.053656745187514	0.0909455155825435	1.0	0.78411494278463	0.9736948310387401	1.56822988556926	0.9983661527711404	3.112660361573299	0.9964347943649867	11.903503216527882	12.09616210930448	281767.0	327.6147666369251	64.32137887571676
2_in	55.82033064144344	17.058747485815424	16.057437143715788	16.927921011221173	-2.9830163429269922	4.387837312865955	8.70814385967071	8.248060322595483	7.741812924761772	0.22291512876005923	1.0	0.7853852136907802	0.9485613960973538	1.5707704273815604	0.9999835119213775	3.272240865741098	0.9382334115422805	11.561248653716746	12.358109649721834	183610.0	213.48264508585427	52.37249925113957
3_out	67.08020300117413	20.832436613545735	20.527362962184842	20.663757400471784	-2.3608240867460566	0.0	10.45383363143657	10.291802743987551	10.104863576185235	0.04734090063610008	1.0	0.7844670679692555	0.9922216575470354	1.568934135938511	0.9988144924809027	3.2199883405648775	0.9680885637774139	11.987540433461344	12.049791130950817	286183.0	332.74931684851356	64.93957738130403
3_in	51.447115766649205	15.998390275660848	15.685360402998384	15.787656231713592	-2.186585981098023	0.0	8.066354965995366	7.869431706625285	7.738487788652125	0.03392121507224784	1.0	0.7855385482204903	0.9936981037014292	1.5710770964409806	1.0001787435081777	3.2157682666935736	0.9654118079739881	11.986311221823676	12.06772750158861	167311.0	194.52689959230185	49.667653047327875
4_out	71.37795765298611	20.864559979512745	20.48287978004705	20.848832200823797	-2.4673621758446185	2.28385715965375	10.485113224163895	10.273882651387549	10.096914725026247	0.07001775150924097	1.0	0.7768231345957788	0.9717209173327039	1.5536462691915576	0.9890819342324715	3.4210142808222797	0.9110485525000845	12.105751202916677	11.995615800142568	285313.0	331.73775464650225	65.02878500016533
4_in	52.162572792683356	16.229111342113903	15.674999353488568	16.180071145942467	-2.9833523291389143	-1.5273454314033659	8.164948206592639	7.931225050062305	7.678221321654545	0.11512939382883337	1.0	0.7783216680628131	0.9600555098912523	1.5566433361256262	0.9909899263018085	3.2141361096786327	0.9608501612455955	12.182590751930194	11.96511884810405	169974.0	197.39996878904893	50.12041647883492
5_out	66.91854149319452	20.83874249773457	20.513258910269276	20.794370713717655	-3.0580437576391413	-0.3374560692277815	10.45579219110579	10.295721891239923	10.154859542231526	0.04892962935451059	1.0	0.7805117898136041	0.9803439333034077	1.5610235796272083	0.9937784759227006	3.211256221457192	0.9718621255784167	12.081091774350325	12.056122193629927	286343.0	332.9353512764697	65.0355959761835
5_in	50.60893784476637	15.915286302759693	15.667906902713657	15.8938743249759	-2.091005422304621	-0.41450687458478597	7.966395966605637	7.874180237484311	7.753772215727629	0.041121756880858215	1.0	0.782129213098122	0.9816797527511197	1.564258426196244	0.9958378432091239	3.179894906194106	0.9810328191505048	12.065547463845405	12.05191978573877	167515.0	194.76874434864476	49.649028968063824
6_out	69.23775842321612	20.87806935514936	20.541363147129278	20.642527210892535	2.7334840651900016	1.7196862744043937	10.472933065636742	10.2856353145072	10.130878958289115	0.04605067393569006	1.0	0.7836719840827019	0.9929121717017861	1.5673439681654038	0.9978021602351609	3.3162912358148358	0.937620244498903	12.019752476702385	11.985296886088923	285794.0	332.2970206455453	64.91872398133188
