	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	69.13962068793133	21.04632519324699	20.596669101518522	20.925408605193205	-1.8690578414814532	3.4330494480676603	10.557118203647397	10.36846306985218	10.198584032400195	0.06734830561284053	1.0	0.7835178982168148	0.9819335185761844	1.5670357964336297	0.9976059720174288	3.285116050098653	0.9477049391989788	12.005297601334979	12.153954780314006	292437.0	337.6912911750649	65.52396002029641
1_in	52.60465189399539	16.010561499445146	15.68857332126968	16.005656302792207	-1.6664523292280633	-0.15991312315821937	8.041849755391498	7.904040831695336	7.7412295438603955	0.05625707052238498	1.0	0.7816007909682462	0.9754501363165308	1.5632015819364924	0.9951650352570528	3.2856219249911023	0.9485178296488688	12.005701829358141	12.171225828214917	169974.0	196.26457979663164	49.89645024392676
2_out	66.9068939147879	20.794876467864107	20.524883888022476	20.66081027138686	2.057100876831055	0.0	10.43151266914931	10.279647723966471	10.128748347087313	0.0461550908558481	1.0	0.7829437521784595	0.9903165587705147	1.565887504356919	0.9968749465769419	3.217470131076959	0.9700203437403012	11.963343364799528	12.07218074728201	287522.0	332.01570054827886	64.90104823381843
2_in	52.391145527325776	15.983094683075912	15.634706168642715	15.962962052432259	-1.6901408147487562	2.961739153797315	8.019259667874252	7.873713047019927	7.740826796333193	0.053020057058730294	1.0	0.7801358573020838	0.9728740086708187	1.5602717146041676	0.9932998237828811	3.277909977146129	0.94838528541693	11.947661736851389	12.097559368642582	168623.0	194.70335934344448	49.686991504252774
3_out	66.70677629687968	20.74840107638781	20.456920696340283	20.59284707970467	-2.389785558211871	0.0	10.393588636985724	10.257816766940016	10.145370971909959	0.04004998180875634	1.0	0.7846726533118428	0.9924816891502962	1.5693453066236855	0.9990762518689027	3.2150321391653462	0.9697388925172158	11.943482731662998	11.997000735822313	286258.0	330.5560979944116	64.68815536952977
3_in	51.035381798053535	15.809478679479945	15.624573697403886	15.796508483620158	-2.0584777687494604	-0.32175055439664235	7.92463523580262	7.8316295818140205	7.69264361068719	0.03298336234143441	1.0	0.7806754063386017	0.9831678950183226	1.5613508126772033	0.9939867989524994	3.2281508348719536	0.9678016815328401	11.931872661320051	12.019327921209984	166872.0	192.68139409675018	49.39212832182671
4_out	71.92380079838405	20.832048645792007	20.43345762868507	20.63912647238085	-2.5359448227511026	1.6359214901292825	10.464269313191602	10.234769035348894	10.033521247055775	0.06984989999385391	1.0	0.7807071230686129	0.9841217035645189	1.5614142461372258	0.9940271819473793	3.452555340154334	0.900544494960081	12.081098877220459	11.948307571501587	285124.0	329.2466127918123	64.77058286559024
4_in	51.89141217888661	16.08693915412771	15.597552491063437	15.869405257792215	-2.4955566959798308	4.71238898038469	8.15761691637812	7.848480439433645	7.721022437750912	0.05769717800588243	1.0	0.7817385341002924	0.9782896158549109	1.5634770682005847	0.9953404152597898	3.2256858611647026	0.9560132225012472	12.064586751409873	11.906465905049968	167573.0	193.4989562867328	49.60887617727786
5_out	66.30667698744661	20.739828460694444	20.41725586318252	20.664412118368414	-2.3388150119324775	-0.32175055439664235	10.40941809405734	10.247400995501092	10.121857332697953	0.0474227681363972	1.0	0.7818129567287956	0.9835292921879895	1.5636259134575912	0.9954351730934232	3.197069691926778	0.9759720666088504	12.013379741956648	11.984557882144536	285651.0	329.85516543887564	64.71346456940377
5_in	50.440601926046824	15.901244707060457	15.616100208306595	15.804566980692956	1.9243144190583117	-0.4506613260806338	8.007559060376865	7.8410344348533965	7.703344194495976	0.04174604273941662	1.0	0.7825301423505691	0.9844670379563577	1.5650602847011381	0.9963483221879806	3.1721165767388153	0.9807904319625462	11.994955159725368	11.981148860207911	167254.0	193.1329008994101	49.47165975149831
