	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	65.16144888957879	20.874382364304605	20.24787199529914	20.71773111338645	-1.6812744969411622	0.2860514417173181	10.47425969570009	10.240209463785005	10.076276058169972	0.09425112385921977	1.0	0.7853014209257687	0.9772005354119409	1.5706028418515374	0.9998768236594022	3.1215988934362677	0.9909422328538843	11.886331280282805	12.061354966539106	287583.0	329.42606763363676	64.57123165863347
1_in	50.25753584594253	15.96927933891656	15.855782603627453	15.93554428471533	-2.2571223183939377	3.0172376590430314	8.003349935294917	7.940991025223353	7.8566548095894575	0.02195719832017009	1.0	0.7839219718483539	0.9931245934702384	1.5678439436967078	0.9981204545440892	3.1471386265669934	0.9956310664767929	11.878117089262425	12.072233040038142	172915.0	198.07397685144915	50.037964012791406
2_out	65.07978036719504	20.58270999147392	19.828636921703957	20.551307966455983	-1.654756894837561	2.714965160462917	10.399845505756705	10.10868639610725	9.761164477681035	0.16330847591525938	1.0	0.7884040360484721	0.9685283794409408	1.5768080720969442	1.0038271959257214	3.1618664594775603	0.9812685193459919	11.93024720179481	11.922186229581742	280470.0	321.27813253636725	63.86073972027983
2_in	49.86093752630194	15.901672830162235	15.771873779869651	15.805719002573234	-2.1546667224570117	0.0	7.956303134729216	7.901250686592035	7.828995861784843	0.023190206237228745	1.0	0.7866943599452262	0.999505507099163	1.5733887198904524	1.00165036870238	3.13557812809014	0.9979784745872864	11.821200892084958	12.025469647226302	171202.0	196.11173689339734	49.760142373990796
3_out	66.43064474096316	20.67790770379159	20.374824067556933	20.510204958371265	-2.3631388230073607	0.0	10.370449490111143	10.221147226107433	10.072322481957928	0.04228265504055109	1.0	0.7853332675460236	0.9933172573687745	1.5706665350920472	0.9999173720356767	3.212638613759851	0.9706416623141894	11.885043768905781	11.947971767295428	286499.0	328.1843466093938	64.48035143997184
3_in	50.96493484567011	15.762320142189662	15.57081113774455	15.740410221713757	2.007553205118542	2.8387077852148215	7.897188130545183	7.803712909939819	7.667842267623809	0.03289271463401608	1.0	0.7805618911123697	0.9831338586659213	1.5611237822247395	0.9938422668775313	3.2333396597659885	0.9659677510748538	11.876442846939668	11.972324438243598	167017.0	191.30865916770477	49.2304834965484
4_out	69.96831664405514	20.70951537285598	20.318426325317063	20.605612563130734	-2.4673621758446185	-0.7853981633974483	10.39448426414054	10.194218656504843	10.028955151295202	0.06703262214003723	1.0	0.7801813707183006	0.9795130656229111	1.5603627414366013	0.9933577732642244	3.3785588597482494	0.9216728998319986	12.035659798388195	11.903951352570466	285152.0	326.64135932188896	64.48790129768979
4_in	51.646814547479195	16.127523852504606	15.549881375046406	16.09162399863644	-2.5442771644553863	-1.082462375738491	8.097209985716287	7.882513459464281	7.62682160726031	0.1081078146782608	1.0	0.7785157744447173	0.9578659591986735	1.5570315488894346	0.9912370702231346	3.2024019942440476	0.9641867455946106	12.12476728011849	11.869805335840347	170365.0	194.8024314222629	49.79717403886236
5_out	66.33530274860716	20.650162769517546	20.383663738811876	20.584541109567404	-3.0579069818477	2.7557099841917196	10.367844192105181	10.209713989727383	10.08991081632721	0.0471934980634078	1.0	0.7803505867788734	0.9838772906178894	1.5607011735577467	0.9935732258441499	3.2123380086149784	0.9725392219593774	11.975327303529554	11.963762213663985	285837.0	327.4260262052897	64.51368372357015
5_in	50.33277377601259	15.76885937862507	15.561426414651335	15.767359582218916	-1.8157749899217608	2.8828217616260954	7.907156187866166	7.811812271080684	7.682258938689325	0.03933131892474602	1.0	0.7813036960587174	0.981794124666667	1.5626073921174348	0.9947867622697013	3.1919096091527983	0.9792369577510212	11.96251188607886	11.957130925830318	167359.0	191.70271085805496	49.287712267592944
6_out	67.90822562853347	20.672450355094632	20.39022288477048	20.65347693609968	2.3133470343333213	0.7853981633974483	10.368470390394924	10.207373958954149	10.021358959248216	0.04197141692812566	1.0	0.7771829897888682	0.9769272061560567	1.5543659795777365	0.9895401160946914	3.2849625691227162	0.9485807510625308	11.919665144278467	11.864368654014676	285723.0	327.2942938088064	64.41643567003808
6_in	51.399879802633855	15.744541505075617	15.529207350314502	15.697681378158407	2.9028704260352165	3.9745739202642247	7.879704562900035	7.784774326236954	7.661143240680857	0.03238433897196985	1.0	0.7807986448028361	0.9834741483675499	1.5615972896056722	0.9941437110385951	3.2646158534412653	0.9554674435945688	11.907900639949514	11.884567212481057	166179.0	190.33727593102762	49.11091175609068
7_out	65.22836089486377	20.66333309221917	20.307133622149767	20.4425145129641	1.9184478234297584	0.0	10.361250626820942	10.204183678663965	9.83377949438471	0.0662264576855543	1.0	0.7879249448123619	0.996573375514937	1.5758498896247237	1.0032171980183697	3.1567201962894202	0.9860570712387359	11.897659695919563	11.999985477829034	285544.0	327.09039496903216	64.31888650569266
7_in	53.92412420231248	16.404462076930944	15.818737167194874	15.904359560522046	-1.6762132222761108	-1.2490457723982544	8.378504385248277	7.9866125870084455	7.71537782465636	0.1502828168504274	1.0	0.7956670922293232	1.0076208369234612	1.5913341844586464	1.0130748062708144	3.287161989794484	0.9370339050995764	11.943207744143532	12.1572253768062	174773.0	200.1794041969829	50.52873268036744
8_out	67.02516992297429	20.698781928601846	20.38320618703213	20.665461198079758	1.678925564910517	0.04995839572194272	10.404796000230837	10.234038630155961	10.119533328034645	0.04679634176792574	1.0	0.7811331961006831	0.9809855467627316	1.5622663922013662	0.9945696749807562	3.238121458266007	0.9634341467005287	11.889764333926536	11.977342656470295	287242.0	329.0354524405862	64.57433739219867
8_in	50.6747797514323	15.842782087327853	15.534957220944571	15.805719002573234	-1.6392118666132391	0.0	7.931993941305628	7.8304178319854065	7.683982536159275	0.049302889662265516	1.0	0.7844723423511683	0.9817107804859326	1.5689446847023365	0.9988212080325283	3.1986035957639958	0.9742815296218755	11.862114528110578	11.97971960218377	168158.0	192.6202556370389	49.371501929477105
9_out	67.13276388594898	20.679292588517537	20.273608971986487	20.622060645191176	2.091566475342414	0.864182124386592	10.37570623169961	10.195733529149216	10.059666137736407	0.06423587652074918	1.0	0.7809317092168824	0.977512190439333	1.5618634184337647	0.9943131339125558	3.2463762287122613	0.9600908450785289	11.930260035377279	11.885783320311308	285024.0	326.4947354371075	64.4535520117181
9_in	51.62501822405809	15.822922146706524	15.496402550937624	15.747888190233391	2.597504791197532	0.764124777373387	7.921456844649733	7.790267740060069	7.6576657704449005	0.05954311541294689	1.0	0.7810084111932768	0.9785305672198463	1.5620168223865536	0.9944107939020604	3.2626728328309205	0.9526312193670893	11.89426413463678	11.883730690111975	166398.0	190.59386772939519	49.17960406063266
10_out	66.68150553164212	20.57221663876975	20.338315904031226	20.53122675948952	2.4704488181537845	1.6078164426688266	10.326093294313077	10.193644742691191	10.08034908979135	0.050926057220221276	1.0	0.7817457525898126	0.9859973279477339	1.5634915051796252	0.9953496061261002	3.2413379025951077	0.9654927254202816	11.955252847877341	11.919166130817896	284971.0	326.43402398481516	64.38050851087273
10_in	51.09628815498272	15.775250677704818	15.611338230756239	15.764755193714832	2.7567038344142216	1.2924966677897851	7.911538055422348	7.817745638021487	7.734726018669984	0.027699700629518615	1.0	0.7800654396627446	0.9835445989214099	1.560130879325489	0.9932101652598275	3.2390159243045926	0.964935504178841	11.969569114484354	11.914222978775523	167606.0	191.98106713931975	49.304622572495596
