	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	65.10748280440114	20.969185266670607	20.25989938568335	20.81724217766402	-1.673210007107896	0.291456794477867	10.518329970590091	10.267725556161396	10.070864810773385	0.11163892928418882	1.0	0.785257225957085	0.9730522243130008	1.57051445191417	0.9998205528775959	3.1049123738672857	0.9939925205401983	11.90338219132443	12.134213123401803	286018.0	331.1863435186069	64.71635093877431
1_in	50.866458876275225	16.155999220199504	15.993274280940266	16.129387253544014	2.6430864091029163	4.71238898038469	8.085872268137535	8.02546504490089	7.938888682624351	0.02606935161374678	1.0	0.784240057455786	0.9900990785812213	1.568480114911572	0.9985254537180828	3.148456383476298	0.9941034372726579	11.904263167204569	12.145694577806196	174713.0	202.30390966710618	50.5665216107935
2_out	66.86813813327377	20.85198431204706	20.540095545384204	20.683164734988722	2.052690085860292	2.711830374493105	10.446578676150107	10.29370840324159	10.151193929162778	0.04335610488928381	1.0	0.783561850693107	0.9907609260917457	1.567123701386214	0.9976619340483333	3.2067997526087373	0.9713378725472189	11.969366941530769	12.06151084654539	287484.0	332.88385619122994	64.95155503556771
2_in	52.09525276469869	15.994070666802996	15.681434316328618	15.931822181780944	-1.871015888624245	3.1941757152007346	8.014576968940686	7.883643270072812	7.771307929587693	0.0513114548674006	1.0	0.7813983893342814	0.9792711568244957	1.5627967786685628	0.9949073294927699	3.2571603471045467	0.9550717904110166	11.955912593189957	12.089710325263532	168612.0	195.2197469583017	49.75470632989524
3_out	67.79673486061968	20.814968136793137	20.553058863165788	20.62111534946766	-2.3434784126216672	0.0	10.432120561061605	10.282390530672322	10.114108486147655	0.04376990939171854	1.0	0.7836781194675759	0.9945168698318186	1.5673562389351519	0.9978099720498048	3.257114515624947	0.9574757072241943	11.965326778621671	12.022607684249758	286845.0	332.14394446012074	64.91372665816301
3_in	52.004465411972	15.861980026920369	15.652991849430897	15.755076578883708	2.00949709690748	0.0	7.951954404248884	7.848591863953686	7.702210644264534	0.03402825853489687	1.0	0.7847027889942718	0.9926408769617288	1.5694055779885436	0.9991146218114791	3.2785607675531008	0.9523147737175168	11.958805665309992	12.042719777961592	167143.0	193.5187605216829	49.52462071110254
4_out	72.34702556300608	20.860645272987643	20.531033138530063	20.746847402918604	-2.5359448227511026	2.366295156777667	10.472567920015996	10.255245014314955	10.084255198112155	0.07173143516736077	1.0	0.7759097176414256	0.9776423382312451	1.5518194352828512	0.9879189356453574	3.4681106272722984	0.8984491214353825	12.078958357239898	11.982016127509665	285427.0	330.50201201143085	65.00012155554597
4_in	52.66471541382962	15.94313071586987	15.631227562050157	15.93432615743617	-2.9395926892758792	1.828120041765985	7.989339132964837	7.859777976965614	7.735769880656605	0.05205318492367155	1.0	0.7791360953872094	0.9731568107154702	1.5582721907744188	0.992026887377543	3.303285681613769	0.9426694218748329	12.066635521170383	11.936243768385289	167611.0	194.06182562636243	49.64541683235737
5_out	66.92142636204812	20.813632991666314	20.471805829168424	20.72908166544164	-2.2879345408881466	2.801210714947886	10.450081026353635	10.277435107785962	10.147135838191009	0.04989735695638937	1.0	0.7818038073753099	0.9830689764938639	1.5636076147506197	0.9954235237747565	3.2152688763582584	0.9699366392594645	12.035191982356714	11.978159877245435	286520.0	331.76762002724047	64.90954338005469
5_in	50.52304584639596	15.879672610617993	15.652513332766434	15.860257691421713	-2.1034982294656444	-0.44441920990109907	7.95297405567352	7.859924517345672	7.741414762689934	0.04113219955850661	1.0	0.7817755218673363	0.9823495032421632	1.5635510437346727	0.9953875095474616	3.1816175991319597	0.9812154700336166	12.021479971914694	11.974046823236446	167614.0	194.0780365250096	49.57399417770137
