	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	68.81075330359259	21.07857311669442	20.63460102371275	20.918258696661223	-1.8138165122064167	0.29706421234104274	10.570319877746932	10.387495551560036	10.22384708567266	0.06911994212555182	1.0	0.7851866611362531	0.986174067754008	1.5703733222725063	0.9997307069572454	3.264488204331718	0.9537995570157701	12.02295128712933	12.181501351559653	292460.0	338.9179094167367	65.63166601888805
1_in	52.25810895665534	16.07506805150646	15.725478027641454	16.073989210468888	-1.6875339220530576	3.0132694259039985	8.039760354389994	7.919191906152751	7.754345888359459	0.05570806933429795	1.0	0.7792061067528802	0.9706052806558273	1.5584122135057603	0.9921160286168957	3.2508794854997847	0.956203392320698	12.02819344072739	12.20246814405123	169973.0	196.960834713422	49.96938106061849
2_out	64.24430233568796	20.6837080348975	20.082869809569313	20.677008797825074	-1.67963602906862	3.1058935409104693	10.348448594817228	10.17225316034021	10.006610828854242	0.09943452058068847	1.0	0.7827715574433749	0.968017516097679	1.5655431148867498	0.996655701430837	3.106034093465985	0.997284206019085	11.785413676101763	12.049466707049993	280492.0	325.048766491552	64.06982804609662
2_in	50.50627781309597	16.122541328519983	15.897575718354204	15.99970147243357	-2.2649939163722146	4.71238898038469	8.066537098521255	7.990534085534459	7.898646324472402	0.02876550621555223	1.0	0.7884277188026788	0.9974497496401509	1.5768554376053576	1.0038573497449057	3.1326499206271436	0.9965559781676296	11.768271704992785	12.07416681885303	173052.0	200.5416879586443	50.3323330896359
3_out	67.68600833199855	20.821774711042817	20.56047132297619	20.6607706734781	-2.359662684379188	-0.026309717252922304	10.434379822133163	10.286007110212044	10.109186962609913	0.047678166918431256	1.0	0.7824086873297378	0.9913575795888229	1.5648173746594756	0.9961936808525516	3.250731951109879	0.9593561338787623	11.963676388175875	12.036621693659223	286804.0	332.36344147014205	64.93498727107182
3_in	52.05889565236452	15.905154981164205	15.659282292169024	15.795449964274841	-2.488245972525698	0.0	8.003047408099697	7.854606539836707	7.713080659555728	0.03608931803125833	1.0	0.7835410419790105	0.98903513405713	1.567082083958021	0.9976354395706702	3.273083205666065	0.9521612410851619	11.969564128528862	12.064141952027807	167257.0	193.80528021933128	49.56846269387834
4_out	72.12943180815557	20.820132800696296	20.46806089527291	20.66899189030201	-2.5658343360665574	1.5546686929512603	10.454638326213598	10.2521899666058	10.086100960144904	0.06735835573034629	1.0	0.7809471577719258	0.9846665228161204	1.5618943155438516	0.9943328036237461	3.4644078641872698	0.8987981205964101	12.10942243626111	11.993508568043412	285095.0	330.38296308953204	64.82979774885715
4_in	52.280542580634766	15.955821384863263	15.62524037414257	15.863533800327751	-2.5198550734673013	4.71238898038469	8.01084757074076	7.861500845007157	7.742752847575483	0.05242996275558419	1.0	0.7831729735289441	0.9821878998317131	1.5663459470578882	0.9971668002648764	3.276581087215699	0.9493578305217146	12.08187106840269	11.950488521561141	167529.0	194.12628227400006	49.63294248284954
5_out	66.76051070661333	20.800308341089345	20.495948195059988	20.713470182820583	-2.339992204413496	2.774418819771574	10.436172206431989	10.279899529681376	10.179319307045011	0.04798180653683665	1.0	0.7819249810225921	0.9851227714784413	1.5638499620451842	0.9955778068542559	3.209592358529286	0.9721936850793763	12.06236842673549	12.04014080926689	286456.0	331.9601609104859	64.90414692164357
5_in	51.17571213108619	15.891451367136819	15.668225374108479	15.864379967582483	-2.171870081292646	2.91811605244916	7.95612457805045	7.862987618500283	7.740024926850312	0.04201462208755088	1.0	0.7814162981898375	0.9826283515458345	1.562832596379675	0.9949301317558649	3.2203296570454523	0.9696691764029258	12.048829072465038	12.033324989423749	167616.0	194.2340555270116	49.62351063398357
