	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	68.58702362645077	21.072868392453994	20.630855055460835	20.92169444272408	-1.867513787581574	0.28950367196138815	10.563507831245559	10.384289431469291	10.19922160851145	0.06602593952443475	1.0	0.7847189715414242	0.9852459171648537	1.5694379430828485	0.999135226070448	3.2547549934403412	0.9564691282928623	12.040668061061414	12.151673715708027	292304.0	338.7101687656998	65.60137070019333
1_in	51.907113558919605	16.038308132706522	15.7069124979352	16.035595623200937	-1.5962685233056193	2.988943325194528	8.034658988780873	7.915467085401219	7.772571972316368	0.053817492005814815	1.0	0.7814036524874639	0.9745211834420225	1.5628073049749278	0.9949140307475319	3.2364457104466475	0.9622123583690985	12.03552901177909	12.170267488592064	169863.0	196.81190142573422	49.94566615366064
2_out	64.44118937910292	20.33236321674949	19.861170482447317	20.124853490723595	-2.7078986298979104	2.654693421778524	10.227300380360818	10.009518643969066	9.767856849536791	0.07711780251825502	1.0	0.7876113756769715	0.9896786709516471	1.575222751353943	1.0028179493951825	3.1693900355870714	0.9799732766826144	11.826655406823102	12.314418580145206	271679.0	314.8107447728959	63.150643509164375
2_in	50.566221729167985	16.099459141127014	15.896943070599972	16.067145887201686	-2.6457896227796787	4.71238898038469	8.060928579129481	8.000046801587393	7.897318505970915	0.02735010270849549	1.0	0.7870195622981163	0.9914493399057677	1.5740391245962326	1.0020644291981207	3.140864626936044	0.9964875024594744	11.888200805519235	12.054642006245443	173478.0	201.01935880841887	50.38860799971061
3_out	66.93823490146666	20.797642043542776	20.492419118846218	20.628581372127588	-2.365453484854468	0.0	10.405742874852383	10.278651527615946	10.097299378041258	0.042210506083341745	1.0	0.7851934695130641	0.9931404358785574	1.5703869390261282	0.9997393756518367	3.2185492355970973	0.9684963921781701	11.953566010984538	12.017859690013152	286448.0	331.9244704916702	64.82943900084533
3_in	51.2370931510853	15.858117114016267	15.66338538821614	15.813448894006925	1.9979567742148905	3.0221637275714546	7.943643296156467	7.849010615318887	7.714639505516943	0.032907892450694594	1.0	0.7813994924876905	0.9854674354920275	1.562798984975381	0.9949087340713142	3.230969527006404	0.9665651640003793	11.939770841227652	12.040115392415453	167033.0	193.54651588334772	49.52398934448147
4_out	71.5030744427246	20.816270678934504	20.4701695375781	20.78477783734939	-2.5812599373128973	2.2218730482393765	10.448490290718041	10.253368710627537	10.039640229425338	0.06793143462841791	1.0	0.7765856565491741	0.9738129291733361	1.5531713130983482	0.9887795677925277	3.434960831628873	0.9074025525976925	12.102876167382732	11.991809641715047	285143.0	330.41228875539827	64.88207226791113
4_in	52.32179570128801	15.959797498261429	15.624618564037233	15.862902507279632	-2.5121691130618617	4.71238898038469	8.012514854781642	7.859554312517293	7.736630721499371	0.05303301439174239	1.0	0.782995315436618	0.9819650963968556	1.565990630873236	0.9969405989562846	3.278349597292049	0.9485746394930459	12.077544020080122	11.951444869355448	167485.0	194.06679910142137	49.63112849497807
5_out	67.09094086852171	20.828930859658854	20.49121686517819	20.741755819632324	-3.06306593835042	-0.3473859629183198	10.446791292711081	10.280062410287039	10.156912044804532	0.0502346491642414	1.0	0.7810122431622488	0.9824041602387883	1.5620244863244976	0.99441567291649	3.2210458290234376	0.9680212995293271	12.050271720272889	11.992427871003137	286469.0	331.94880445064473	64.94545976619163
5_in	50.86342988751789	15.897088853928606	15.65604062248678	15.87075802189202	-2.056471023985005	-0.39479111969976155	7.953453305999341	7.864920916787935	7.730185220232963	0.042585183543483944	1.0	0.7821049910732218	0.9823346097272483	1.5642099821464437	0.9958070027691676	3.199543662042761	0.9755803838069615	12.037789289849764	11.988023332820868	167710.0	194.33215513023845	49.62136445140318
6_out	68.53858390484592	20.748023535224107	20.488317087209772	20.5711122728682	3.0198831555168812	1.7624448234815737	10.419324701979154	10.259105624576634	10.101769818219037	0.04574299380581101	1.0	0.7844516795019932	0.9947749217450643	1.5689033590039865	0.9987948992758515	3.3033789357568133	0.9447995195883161	11.99539985020379	11.943949532874537	285323.0	330.62086554660823	64.75522114656192
