	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	68.15601622561626	21.122025228061634	20.64768421190487	20.95087776148345	-1.84554675491808	0.3028848683749714	10.598237869330411	10.39854335104671	10.244275256394296	0.07012030757462487	1.0	0.7850091226951383	0.9850401869326038	1.5700182453902767	0.9995046579933076	3.2267746813912375	0.9636199644237706	12.047154306227613	12.199313630526952	291860.0	339.5848261256515	65.67649793059427
1_in	51.80185178190224	16.107515909534147	15.762773535969975	16.105393524167805	-1.7195815623628918	3.0090411212931194	8.064547074766306	7.936052314858664	7.776654877208415	0.052928050086055695	1.0	0.7792877151869455	0.9711118279029259	1.558575430373891	0.9922199357023317	3.216005004920739	0.96670966713238	12.051485335583015	12.215464871947598	170047.0	197.83439858483743	50.077350892923604
2_out	66.68040019669328	20.87211065217657	20.568572941298243	20.705014552849143	2.0534474957996793	0.0	10.465644987079548	10.315908430032449	10.158037825017054	0.04190280193489193	1.0	0.7851079582865466	0.9930431484747274	1.5702159165730931	0.9996304993767156	3.194712854291033	0.9756000275820917	12.020139027822985	12.097805402349751	287366.0	334.35596910992933	65.05340027107889
2_in	52.438488341398745	16.038891347048484	15.690785328353552	15.929558148567628	-1.7460845168549524	0.0	8.029568104950624	7.9017899284261865	7.789555609604305	0.051695095943656406	1.0	0.7845033050926357	0.9838884159933916	1.5690066101852713	0.998860631019378	3.2694584187110043	0.9508902166713665	12.001154451246201	12.130301046919058	168543.0	196.08446512875238	49.86324554087158
3_out	67.5068270378571	20.8414282507947	20.53446253841052	20.67090414996142	-2.342306494261378	0.0	10.449104283460555	10.296948627037686	10.11769217595298	0.04398413355573286	1.0	0.7846863590013484	0.9924990245905134	1.5693727180026968	0.9990937024947695	3.239069137945621	0.9623213139045812	11.979695678339285	12.04372606992096	286263.0	333.0726070074946	64.96325849259995
3_in	51.6505039242894	15.883951456923405	15.694585212039033	15.867171716088949	-2.012353389585806	-0.32175055439664235	7.958361241528686	7.8627267105545835	7.751217395875807	0.032990083657926	1.0	0.7799028643113948	0.9822023176648724	1.5598057286227895	0.9930031678934896	3.2517414866422474	0.960312943018429	11.969099099465767	12.065278816374486	166929.0	194.21817971415106	49.60064743191927
4_out	73.95212410510429	20.924167479279966	20.585139392201068	20.72597103862618	-2.5793645309501843	1.599773720646458	10.506785079960142	10.276807785756823	10.094462639784	0.07311205196292424	1.0	0.7777950579617136	0.9835902683959264	1.555590115923427	0.9903194254964317	3.53429230473972	0.8811881868731497	12.113096728593787	12.019604466118528	285207.0	331.84393032556255	65.165738155595
4_in	52.760558765464644	16.028332771787102	15.688515558859752	15.97663089421927	-2.9467012621281747	-1.1210367137250574	8.030845159196287	7.878513307232454	7.754196216560084	0.05362404425407222	1.0	0.7777094531497765	0.9723534230383603	1.555418906299553	0.9902104300646537	3.2917059757040485	0.9435288438966407	12.112123428747369	11.957344246051653	167558.0	194.93258073944108	49.78110901531963
5_out	67.48206288536059	20.78174721284764	20.525862309469193	20.742939584187436	2.2783544134645	3.9269908169872414	10.431751014519445	10.27683282230555	10.107660364007137	0.0418844529303685	1.0	0.779190009018118	0.981713137238486	1.558380018036236	0.9920955323444158	3.247179469281678	0.9606234833316706	12.02179672947268	11.948813394670156	285129.0	331.7531757979198	64.82485431134194
5_in	50.92030252967188	15.901046428841413	15.653683476904236	15.822521357240648	2.903377675041772	3.9269908169872414	7.965965956713712	7.850886952734691	7.718606349902837	0.03803860796072627	1.0	0.7817467774061407	0.9847297884372578	1.5634935548122815	0.9953509109627752	3.202323995313436	0.9724067951811322	12.01458283813618	11.96715332443168	166416.0	193.62362120613278	49.51524819253193
